income,credit_score,loan_amount,employment_years,loan_status
141958,760,43525,16,1
35795,846,37556,4,1
20860,552,17595,11,1
123694,689,6969,10,1
148106,555,48753,14,0
139879,749,22275,2,1
130268,309,9470,0,0
96820,541,15225,19,1
74886,550,47324,15,0
26265,304,46974,1,0
102386,418,47759,1,0
148214,673,28196,2,1
57194,364,45287,7,0
107498,445,18669,14,0
132727,523,42380,6,0
146324,538,43006,5,0
64131,476,20577,8,0
80263,581,27473,19,1
36023,362,33625,0,0
61090,516,20504,7,0
87221,760,29089,2,1
84820,404,41487,3,0
20769,398,5302,14,0
79735,810,36463,5,1
82955,684,49912,14,1
84925,704,34259,2,1
141637,817,47823,13,1
87969,775,42208,19,1
25311,736,35659,13,1
123355,322,40840,3,0
124724,757,36890,11,1
103104,382,18598,16,0
73707,444,24508,6,0
105305,384,47287,8,0
48693,377,18380,2,0
91932,756,31984,12,1
147723,300,49633,14,0
113016,350,13125,17,0
126970,745,41059,18,1
45658,748,9033,0,1
104478,787,42873,5,1
142537,333,22087,1,0
38431,647,45901,13,0
22747,394,10704,5,0
143855,371,12848,13,0
79150,453,26592,3,0
85725,549,11924,7,1
149981,737,32208,2,1
104654,417,24614,18,0
55773,605,5488,13,1
139346,567,44882,19,1
87435,353,30923,16,0
76886,535,40941,7,0
86803,688,34165,13,1
51551,700,6667,5,1
136216,602,31213,15,1
31394,506,9114,18,1
89092,528,41321,13,0
23890,374,12761,18,0
61606,734,36116,2,1
116276,402,38768,9,0
145768,721,30426,18,1
100038,605,22772,8,1
107313,397,43218,19,0
30627,634,8712,12,1
28792,734,6367,6,1
128859,746,45957,13,1
128557,607,46781,8,0
93969,548,31200,18,1
63001,465,8726,14,1
96552,780,28616,19,1
43897,634,32723,13,1
88148,841,42574,5,1
141729,405,39958,3,0
144243,380,14108,7,0
140923,432,17178,16,1
140174,437,40643,8,0
43483,483,36324,0,0
144358,700,43360,19,1
68555,629,22824,13,1
145436,807,13927,10,1
37159,368,33144,2,0
130510,845,36010,8,1
126530,352,27443,13,0
100077,749,19437,8,1
55920,504,49298,3,0
112067,425,44778,3,0
87121,342,16207,7,0
89479,410,30537,1,0
109475,482,40757,8,0
39457,394,17040,13,0
86557,673,46986,8,0
97189,819,27612,15,1
129109,659,33441,16,1
98953,580,11471,15,1
72995,494,40631,11,0
60757,494,48461,2,0
29692,392,31523,10,0
65758,360,36348,13,0
149425,350,6177,17,1
92409,702,9760,4,1
91211,304,37779,15,0
85697,765,26636,19,1
57065,833,21353,4,1
112093,704,16556,2,1
119299,812,32598,11,1
149293,532,16563,0,0
52606,823,48790,8,1
147791,645,13234,8,1
31534,345,30519,3,0
114663,845,31966,2,1
60397,377,21173,16,0
146678,372,31987,1,0
111387,548,18178,0,0
21016,346,44338,7,0
109789,420,29596,12,0
75591,513,38174,14,0
109812,538,46974,7,0
43247,355,9431,11,0
44300,649,32764,11,1
94065,406,26627,13,0
102798,347,44310,14,0
29268,636,13906,14,1
106807,325,41914,8,0
32185,556,49814,18,0
83704,307,18076,19,0
106779,552,42650,7,0
59099,602,11012,18,1
28571,355,12151,5,0
143372,825,33211,19,1
125512,773,32117,18,1
58044,327,41378,3,0
71214,377,47652,6,0
81228,515,11894,3,0
134752,685,18467,11,1
68984,664,36010,12,1
60774,825,47641,2,1
22568,611,17289,11,1
140151,306,49976,1,0
82592,302,48596,1,0
87563,662,28171,8,1
22695,807,39905,0,1
144375,573,25829,7,1
68190,805,39054,5,1
25258,314,49139,5,0
107538,491,34734,17,0
59504,784,12052,16,1
53159,327,8654,11,0
33986,338,28486,5,0
81858,572,23743,7,0
149312,530,29489,18,1
32666,385,13636,9,0
58660,773,11441,0,1
23561,425,29611,12,0
46854,836,47435,16,1
84505,444,17149,2,0
124488,824,39566,7,1
72251,511,47368,13,0
42662,324,26675,2,0
28392,693,10495,15,1
50535,366,47668,12,0
98603,532,18673,19,1
133569,408,16130,16,1
72256,445,27668,12,0
109135,410,20222,5,0
147478,527,28669,16,1
55222,410,39068,13,0
97373,769,28253,16,1
99575,333,14435,7,0
143684,668,33552,10,1
116354,724,42384,19,1
104651,817,21393,0,1
83335,581,15617,6,1
30965,619,43520,16,1
44538,742,14852,9,1
128066,614,36401,10,1
90592,676,11295,8,1
118018,588,40993,8,0
133252,736,39084,4,1
28110,576,44575,16,0
99309,802,41451,8,1
47266,815,12227,16,1
72992,649,36910,18,1
102948,745,41041,6,1
142073,649,28384,8,1
118806,436,5145,6,0
26910,542,42778,12,0
130989,842,21035,10,1
110982,339,8040,13,0
141626,528,47422,18,1
139176,847,31160,10,1
20206,522,22633,12,0
107054,305,34344,13,0
107897,621,22014,12,1
142409,767,19996,0,1
43419,374,46621,7,0
70636,303,16695,11,0
142546,417,7852,18,1
134238,803,21014,11,1
70015,740,32042,7,1
137478,493,38755,7,0
142096,691,45390,12,1
127059,325,28711,11,0
74268,734,31122,15,1
130687,472,14160,0,0
107939,599,32213,12,1
38141,625,44420,6,0
100356,709,12421,4,1
125878,417,26400,7,0
91910,524,38537,13,0
76044,831,22727,12,1
87214,412,9358,14,0
137930,439,33482,16,0
139324,300,37117,14,0
53827,389,28164,19,0
75820,619,36910,17,1
82623,849,37496,17,1
101734,438,49311,1,0
95450,810,34371,3,1
113426,558,43467,0,0
137845,309,22625,3,0
42299,560,38893,17,0
63585,471,15793,4,0
129225,312,36007,18,0
84044,467,30766,14,0
62557,620,44532,7,0
69080,618,17323,19,1
129556,628,12843,16,1
22693,849,19210,0,1
115003,718,21456,11,1
115259,394,36367,18,0
132235,617,15106,14,1
89163,535,42957,8,0
45939,633,7472,6,1
68925,675,11704,1,1
62941,758,8713,8,1
41834,436,10051,9,0
38047,846,15756,1,1
46105,812,7475,18,1
95766,595,41378,10,0
35707,619,9255,12,1
41976,648,19484,9,1
64262,528,39503,13,0
145117,569,13258,17,1
43776,590,45747,18,1
50080,464,40196,8,0
148376,304,45194,6,0
86842,678,13533,2,1
81373,377,37581,19,0
26776,709,10249,5,1
112787,431,24201,1,0
147948,341,14686,5,0
75016,388,37007,2,0
29474,701,5661,15,1
125830,595,49843,7,0
78053,594,35137,1,0
41959,825,47828,16,1
25530,721,15526,8,1
114856,322,8374,11,0
139101,442,30592,2,0
23748,444,33982,10,0
117504,524,5207,0,0
118098,802,40433,12,1
33545,403,28197,14,0
147659,338,38400,4,0
86199,497,8083,16,1
54766,690,34328,5,1
93530,478,47891,10,0
113557,747,25103,17,1
81087,799,44891,3,1
115839,314,15754,2,0
136183,588,39447,12,1
88840,777,20901,8,1
138451,530,38004,5,0
74384,719,12446,11,1
71005,456,42211,1,0
66576,849,34301,2,1
59353,740,31116,2,1
82003,396,46323,11,0
103211,710,23752,14,1
72733,588,37376,8,0
85318,553,21669,7,0
129953,495,37916,10,0
109474,821,18395,15,1
43664,816,25421,3,1
87172,417,31342,0,0
105616,458,9895,6,0
145879,527,16023,1,0
113264,515,15699,4,0
135386,314,14715,6,0
46736,456,24169,3,0
114209,560,21163,4,0
123041,456,10782,0,0
132859,346,27641,0,0
132181,623,23792,14,1
20854,429,40585,19,0
110084,710,35682,18,1
58623,394,23880,9,0
27392,591,43067,17,0
75680,582,47685,2,0
146354,368,23073,10,0
66717,310,41035,14,0
139937,553,42174,10,0
107092,849,29837,16,1
70859,433,22826,16,0
145657,322,29981,5,0
124095,645,15382,4,1
46309,601,9437,7,1
107455,662,10435,1,1
83734,695,29819,15,1
90467,517,41875,19,1
72662,440,36982,11,0
118506,509,38328,5,0
129751,759,17329,0,1
138906,655,30169,3,1
32688,623,26932,16,1
45342,432,39594,12,0
57157,426,16421,17,0
87863,405,12629,4,0
126308,677,13325,2,1
72083,350,33495,10,0
126081,328,36750,12,0
85733,761,34619,3,1
109045,595,45461,13,1
54698,596,13264,10,1
130078,706,17686,9,1
100623,704,29226,18,1
42671,645,11721,17,1
45184,719,25609,5,1
113384,481,12373,14,1
62107,300,43675,9,0
106202,670,33937,4,1
129893,730,10656,4,1
71663,608,13984,9,1
35708,436,34984,4,0
111906,501,13286,2,0
69811,735,10901,5,1
22811,612,36552,3,0
76250,416,30709,17,0
132547,543,36055,8,0
92082,836,42685,16,1
144249,374,13429,12,0
54754,685,19716,14,1
115742,509,16138,19,1
126642,774,40298,16,1
31411,717,28429,12,1
22911,646,10772,15,1
87270,828,40732,3,1
103763,478,44905,4,0
28680,481,22347,4,0
104896,324,21920,8,0
103879,479,36822,16,0
91295,800,45108,12,1
108614,460,28563,1,0
120689,476,12967,12,1
31111,584,16871,18,1
57504,362,33763,2,0
21802,455,16916,9,0
28155,768,13734,1,1
93656,348,38613,12,0
59384,383,33179,18,0
132561,660,40262,16,1
67254,447,17677,13,0
41918,641,23268,11,1
105981,775,17330,11,1
80713,362,25733,10,0
50306,659,42947,6,0
36646,626,32286,3,0
66843,440,11610,18,1
140975,514,11430,0,0
116601,734,44922,2,1
110735,617,18828,12,1
127512,331,47913,14,0
36371,584,36497,1,0
97371,604,44256,10,0
131472,728,41618,3,1
22049,776,31526,18,1
51616,585,35158,16,1
123727,443,30032,2,0
132893,723,42846,17,1
146603,318,49936,7,0
40932,317,34794,18,0
137796,670,10448,4,1
49855,474,33861,6,0
81434,493,33141,7,0
92694,801,14074,4,1
63016,412,11406,16,0
27400,413,36823,4,0
137858,521,28291,3,0
62642,563,46568,18,0
35151,354,37003,1,0
71407,757,39406,10,1
86690,461,28312,12,0
24499,679,48108,14,1
26295,386,6382,11,0
140885,354,39171,10,0
146071,775,46779,6,1
79040,477,8292,4,0
32183,690,46779,16,1
49299,648,38187,19,1
32874,307,17411,8,0
136336,612,42285,13,1
52711,742,20422,11,1
25539,627,47468,5,0
127941,353,37371,16,0
73351,538,10693,18,1
81267,528,38535,18,1
143133,350,19818,15,0
68354,563,36238,11,0
146063,717,35874,11,1
22557,395,31715,19,0
58360,387,32605,5,0
102018,377,39317,3,0
22200,587,36174,5,0
132476,419,14956,10,0
88497,790,43908,0,1
66975,751,15837,14,1
41357,799,8716,10,1
139121,464,9481,18,1
97505,481,29282,17,1
22869,768,11548,16,1
146114,306,42605,18,0
81135,629,12758,13,1
70108,450,48668,17,0
132296,384,28177,18,0
114179,446,29022,14,0
110272,680,45761,14,1
58467,847,10542,3,1
43328,584,30476,6,0
139181,381,35784,12,0
111412,813,27740,2,1
106831,822,29817,15,1
23987,685,21052,8,1
78871,770,40153,7,1
42399,418,5671,19,1
148391,695,5163,12,1
66214,831,46424,16,1
119522,560,49002,16,0
106416,555,9795,16,1
90271,525,15634,0,0
64064,352,9798,7,0
145615,799,27420,18,1
90091,805,34300,5,1
127450,663,29345,2,1
60818,579,15749,4,0
65525,457,43595,12,0
39830,358,30121,14,0
37429,427,42487,13,0
26893,414,33411,15,0
136381,508,38361,17,1
99909,825,26223,10,1
67333,820,12394,2,1
23436,536,19056,9,0
94290,580,33380,9,0
96213,658,31035,15,1
25895,500,35620,11,0
39738,577,24877,1,0
50746,534,48404,8,0
69377,793,35911,2,1
68404,303,37784,14,0
74045,741,8191,2,1
117888,328,38160,18,0
149307,408,30000,17,0
59790,374,44040,7,0
127455,445,8631,16,1
25600,427,11172,7,0
114660,341,47080,6,0
113179,655,28561,6,1
60764,340,29817,2,0
94543,333,25281,0,0
65714,316,33671,3,0
76835,452,30364,4,0
122946,677,46674,0,0
148191,641,32425,14,1
129616,326,33602,4,0
125983,586,28253,12,1
93744,467,28472,7,0
76491,567,13080,7,1
144123,754,12099,4,1
38589,700,30431,8,1
63484,775,36186,0,1
102989,429,35111,3,0
56212,662,44851,2,0
63525,591,27614,1,0
67202,670,31724,7,1
52635,328,46991,8,0
83208,448,9940,1,0
53828,595,33758,13,1
38711,310,41224,13,0
23420,811,12788,3,1
116752,412,33082,5,0
20301,486,29034,10,0
65236,526,40479,2,0
135294,609,16280,7,1
137858,397,23052,2,0
86235,354,21531,13,0
74240,705,27804,12,1
144019,368,33903,12,0
85726,611,49857,1,0
30492,588,15142,12,1
135668,847,14866,18,1
121279,447,9531,5,0
26102,766,43098,15,1
70336,543,43278,1,0
138015,790,33138,7,1
105314,806,32065,16,1
143007,664,34956,1,0
46641,781,46732,9,1
54584,500,44261,15,0
52745,453,15759,5,0
140542,749,10439,1,1
43093,800,47533,1,0
86105,372,33270,12,0
123746,595,18279,14,1
120199,316,44279,1,0
71885,516,49251,6,0
56631,360,28888,2,0
